Order Number ,Order Date,SKU ID,Warehouse ID,Customer Type,Order Quantity,Unit Sale Price,Revenue,,,,,
SO - 019070,05-Jan-21,1993AA,FLR025,Wholesale,425,83.75125,35594,,,,,
SO - 019071,05-Jan-21,2953CA,AXW291,Wholesale,4,1519.82,6079,,,,,
SO - 019072,05-Jan-21,2515BA,AXW291,Distributor,580,90,52200,,,,,
SO - 019073,05-Jan-21,2938CA,AXW291,Distributor,1,29.206,29,,,,,
SO - 019074,05-Jan-21,3407CA,FLR025,Wholesale,3,1017.592,3053,,,,,
SO - 019075,05-Jan-21,1990AA,AXW291,Wholesale,5,545.845,2729,,,,,
SO - 019076,05-Jan-21,2054CA,AXW291,Distributor,4,904,3616,,,,,
SO - 019077,05-Jan-21,2515BA,GUT930,Wholesale,11,90,990,,,,,
SO - 019078,05-Jan-21,2013AA,AXW291,Wholesale,67,143.8402,9637,,,,,
SO - 019079,05-Jan-21,2044CA,NXH382,Wholesale,4,740.82,2963,,,,,
SO - 019080,05-Jan-21,1953AA,AXW291,Export,1,947.56,948,,,,,
SO - 019081,05-Jan-21,3365CA,AXW291,Wholesale,6,13.3248,80,,,,,
SO - 019082,05-Jan-21,3423CA,NXH382,Distributor,1,29.555,30,,,,,
SO - 019083,05-Jan-21,1908AA,AXW291,Wholesale,1,27809.1,27809,,,,,
SO - 019084,05-Jan-21,1601AA,GUT930,Wholesale,8,918.403,7347,,,,,
SO - 019085,05-Jan-21,2953CA,AXW291,Wholesale,2,1519.82,3040,,,,,
SO - 019086,05-Jan-21,3610AA,NXH382,Wholesale,1,156.16,156,,,,,
SO - 019087,05-Jan-21,3502BA,NXH382,Wholesale,12,1234.335,14812,,,,,
SO - 019088,05-Jan-21,2291AA,NXH382,Wholesale,500,18.75596,9378,,,,,
SO - 019089,05-Jan-21,3407CA,AXW291,Wholesale,5,1017.592,5088,,,,,
SO - 019090,05-Jan-21,1317CA,GUT930,Wholesale,1,4908.7,4909,,,,,
SO - 019091,05-Jan-21,3177CA,AXW291,Wholesale,56.25,69.45642,3907,,,,,
SO - 019092,05-Jan-21,1330CA,AXW291,Distributor,1,6000,6000,,,,,
SO - 019093,05-Jan-21,2640BA,NXH382,Wholesale,31,444.45667,13778,,,,,
SO - 019094,05-Jan-21,1979AA,AXW291,Wholesale,25,278.638,6966,,,,,
SO - 019095,05-Jan-21,1624CA,FLR025,Wholesale,2,1531.377,3063,,,,,
SO - 019096,05-Jan-21,2847BA,AXW291,Distributor,756,241.79216,182795,,,,,
SO - 019097,05-Jan-21,2227AA,FLR025,Wholesale,1,751.635,752,,,,,
SO - 019098,05-Jan-21,1317CA,AXW291,Wholesale,1,4908.7,4909,,,,,
SO - 019099,05-Jan-21,1486CA,FLR025,Distributor,5,190.72,954,,,,,
SO - 019100,05-Jan-21,1695CA,AXW291,Wholesale,1,1649.3,1649,,,,,
SO - 019101,05-Jan-21,1009AA,AXW291,Distributor,1220,28.76326,35091,,,,,
SO - 019102,05-Jan-21,1163CA,AXW291,Distributor,37,94.66425,3503,,,,,
SO - 019103,05-Jan-21,2227AA,FLR025,Wholesale,7,751.635,5261,,,,,
SO - 019104,05-Jan-21,2673BA,AXW291,Wholesale,215,13,2795,,,,,
SO - 019105,05-Jan-21,1993AA,AXW291,Distributor,1800,83.75125,150752,,,,,
SO - 019106,05-Jan-21,3399AA,FLR025,Distributor,7,194.753,1363,,,,,
SO - 019107,05-Jan-21,1584BA,NXH382,Distributor,1,425,425,,,,,
SO - 019108,05-Jan-21,3378CA,NXH382,Export,600,1.5,900,,,,,
SO - 019109,05-Jan-21,3079BA,GUT930,Distributor,474,134.5,63753,,,,,
SO - 019110,05-Jan-21,3079BA,AXW291,Wholesale,18,134.5,2421,,,,,
SO - 019111,05-Jan-21,2515BA,NXH382,Distributor,42,90,3780,,,,,
SO - 019112,06-Jan-21,2935BA,GUT930,Wholesale,1,23.495,23,,,,,
SO - 019113,06-Jan-21,1317CA,GUT930,Export,1,4908.7,4909,,,,,
SO - 019114,06-Jan-21,3025CA,AXW291,Wholesale,1,1092.5,1093,,,,,
SO - 019115,06-Jan-21,2317CA,GUT930,Wholesale,1800,37.26672,67080,,,,,
SO - 019116,06-Jan-21,3494AA,FLR025,Export,102,3.5,357,,,,,
SO - 019117,06-Jan-21,1906CA,NXH382,Wholesale,1,1893.75,1894,,,,,
SO - 019118,06-Jan-21,1445BA,AXW291,Export,3,1291.865,3876,,,,,
SO - 019119,06-Jan-21,2317CA,AXW291,Wholesale,249,37.26672,9279,,,,,
SO - 019120,06-Jan-21,3079BA,GUT930,Wholesale,2,134.5,269,,,,,
SO - 019121,06-Jan-21,2564BA,GUT930,Export,50,309.205,15460,,,,,
SO - 019122,06-Jan-21,3502BA,AXW291,Wholesale,9,1234.335,11109,,,,,
SO - 019123,06-Jan-21,2508BA,FLR025,Export,1,463.1,463,,,,,
SO - 019124,06-Jan-21,3358BA,AXW291,Wholesale,2,1363.64,2727,,,,,
SO - 019125,06-Jan-21,3399AA,NXH382,Wholesale,3,194.753,584,,,,,
SO - 019126,06-Jan-21,1971AA,AXW291,Export,160,321.9469,51512,,,,,
SO - 019127,06-Jan-21,3533CA,AXW291,Export,250,0.64377,161,,,,,
SO - 019128,06-Jan-21,1908AA,GUT930,Wholesale,1,27809.1,27809,,,,,
SO - 019129,06-Jan-21,2956AA,AXW291,Distributor,27,12.02259,325,,,,,
SO - 019130,06-Jan-21,2236CA,FLR025,Wholesale,6,1617.335,9704,,,,,
SO - 019131,06-Jan-21,2840AA,FLR025,Export,332,8.61042,2859,,,,,
SO - 019132,06-Jan-21,2923CA,AXW291,Wholesale,10,20.18857,202,,,,,
SO - 019133,06-Jan-21,3494AA,AXW291,Export,60,3.5,210,,,,,
SO - 019134,06-Jan-21,1624AA,NXH382,Distributor,3,722.101,2166,,,,,
SO - 019135,06-Jan-21,3365CA,AXW291,Wholesale,3,13.3248,40,,,,,
SO - 019136,06-Jan-21,1624CA,AXW291,Wholesale,2,1531.377,3063,,,,,
SO - 019137,06-Jan-21,3590BA,AXW291,Wholesale,12,115.085,1381,,,,,
SO - 019138,06-Jan-21,2970CA,AXW291,Distributor,1,512.205,512,,,,,
SO - 019139,06-Jan-21,1145BA,AXW291,Distributor,18,85.30066,1535,,,,,
SO - 019140,06-Jan-21,1224AA,NXH382,Distributor,468,698,326664,,,,,
SO - 019141,06-Jan-21,3495CA,NXH382,Distributor,15,39.835,598,,,,,
SO - 019142,06-Jan-21,3619CA,GUT930,Wholesale,612,0.7455,456,,,,,
SO - 019143,06-Jan-21,3404CA,AXW291,Distributor,1,396.54,397,,,,,
SO - 019144,06-Jan-21,2277AA,AXW291,Distributor,294,6.37172,1873,,,,,
SO - 019145,06-Jan-21,3027CA,NXH382,Distributor,2,1145.83,2292,,,,,
SO - 019146,06-Jan-21,1995AA,AXW291,Wholesale,40,100.57182,4023,,,,,
SO - 019147,06-Jan-21,2044CA,NXH382,Distributor,6,740.82,4445,,,,,
SO - 019148,06-Jan-21,3619CA,NXH382,Distributor,1200,0.7455,895,,,,,
SO - 019149,06-Jan-21,3461CA,NXH382,Distributor,5,30.064,150,,,,,
SO - 019150,06-Jan-21,1953AA,AXW291,Wholesale,1,947.56,948,,,,,
SO - 019151,06-Jan-21,3576BA,AXW291,Wholesale,6,44.79,269,,,,,
SO - 019152,06-Jan-21,3619CA,GUT930,Distributor,2207,0.7455,1645,,,,,
SO - 019153,06-Jan-21,2606AA,GUT930,Export,3,2041.52333,6125,,,,,
SO - 019154,06-Jan-21,3084CA,NXH382,Distributor,1,2769.81,2770,,,,,
SO - 019155,07-Jan-21,2994CA,AXW291,Wholesale,1,12977,12977,,,,,
SO - 019156,07-Jan-21,3399AA,AXW291,Distributor,2,194.753,390,,,,,
SO - 019157,07-Jan-21,1445BA,GUT930,Export,1,1291.865,1292,,,,,
SO - 019158,07-Jan-21,1486CA,GUT930,Wholesale,2,190.72,381,,,,,
SO - 019159,07-Jan-21,3365CA,GUT930,Distributor,20,13.3248,266,,,,,
SO - 019160,07-Jan-21,1624AA,NXH382,Wholesale,1,722.101,722,,,,,
SO - 019161,07-Jan-21,2930CA,FLR025,Wholesale,6,20.00833,120,,,,,
SO - 019162,07-Jan-21,1499CA,AXW291,Distributor,4,6600,26400,,,,,
SO - 019163,07-Jan-21,3399AA,AXW291,Export,2,194.753,390,,,,,
SO - 019164,07-Jan-21,3495CA,AXW291,Distributor,10,39.835,398,,,,,
SO - 019165,07-Jan-21,1317CA,AXW291,Wholesale,1,4908.7,4909,,,,,
SO - 019166,07-Jan-21,1255CA,GUT930,Wholesale,1,84500,84500,,,,,
SO - 019167,07-Jan-21,1497CA,NXH382,Distributor,80,16.71828,1337,,,,,
SO - 019168,07-Jan-21,3413AA,AXW291,Wholesale,2,35.3004,71,,,,,
SO - 019169,07-Jan-21,3533CA,AXW291,Wholesale,500,0.64377,322,,,,,
SO - 019170,07-Jan-21,1130AA,GUT930,Wholesale,400,17.26609,6906,,,,,
SO - 019171,07-Jan-21,1630BA,GUT930,Wholesale,5,442.803,2214,,,,,
SO - 019172,07-Jan-21,1586CA,GUT930,Wholesale,8,286.571,2293,,,,,
SO - 019173,07-Jan-21,2291AA,AXW291,Export,145,18.75596,2720,,,,,
SO - 019174,07-Jan-21,2212AA,AXW291,Wholesale,1,747.405,747,,,,,
SO - 019175,07-Jan-21,3407CA,NXH382,Distributor,3,1017.592,3053,,,,,
SO - 019176,07-Jan-21,2814BA,AXW291,Wholesale,318,50.49535,16058,,,,,
SO - 019177,07-Jan-21,3025CA,GUT930,Distributor,1,1092.5,1093,,,,,
SO - 019178,07-Jan-21,3551CA,NXH382,Export,500,7.06831,3534,,,,,
SO - 019179,07-Jan-21,1145BA,AXW291,Distributor,40,85.30066,3412,,,,,
SO - 019180,07-Jan-21,2956AA,AXW291,Distributor,6,12.02259,72,,,,,
SO - 019181,07-Jan-21,1956AA,NXH382,Export,1,573.09,573,,,,,
SO - 019182,07-Jan-21,2044CA,AXW291,Wholesale,6,740.82,4445,,,,,
SO - 019183,07-Jan-21,1163CA,AXW291,Distributor,80,94.66425,7573,,,,,
SO - 019184,07-Jan-21,2016CA,FLR025,Wholesale,200,267.32395,53465,,,,,
SO - 019185,07-Jan-21,3399AA,AXW291,Distributor,6,194.753,1169,,,,,
SO - 019186,07-Jan-21,3556AA,AXW291,Export,14,1077.43125,15084,,,,,
SO - 019187,07-Jan-21,1967BA,AXW291,Wholesale,170,178.65,30371,,,,,
SO - 019188,07-Jan-21,1130AA,GUT930,Export,1080,17.26609,18647,,,,,
SO - 019189,07-Jan-21,2044CA,AXW291,Wholesale,11,740.82,8149,,,,,
SO - 019190,07-Jan-21,3551CA,NXH382,Wholesale,200,7.06831,1414,,,,,
SO - 019191,07-Jan-21,1379CA,GUT930,Wholesale,7,490.18125,3431,,,,,
SO - 019192,07-Jan-21,2016CA,AXW291,Distributor,133,267.32395,35554,,,,,
SO - 019193,07-Jan-21,1995AA,AXW291,Wholesale,40,100.57182,4023,,,,,
SO - 019194,07-Jan-21,1497CA,NXH382,Wholesale,13,16.71828,217,,,,,
SO - 019195,07-Jan-21,1979AA,AXW291,Wholesale,190,278.638,52941,,,,,
SO - 019196,07-Jan-21,2212AA,NXH382,Distributor,2,747.405,1495,,,,,
SO - 019197,07-Jan-21,2604CA,FLR025,Wholesale,31,129.04,4000,,,,,
SO - 019198,08-Jan-21,1964BA,AXW291,Wholesale,340,99.12769,33703,,,,,
SO - 019199,08-Jan-21,2336BA,AXW291,Wholesale,22,7.92068,174,,,,,
SO - 019200,08-Jan-21,1385CA,GUT930,Wholesale,7,1781.5475,12471,,,,,
SO - 019201,08-Jan-21,3160BA,GUT930,Distributor,5,270.909,1355,,,,,
SO - 019202,08-Jan-21,1499AA,NXH382,Wholesale,100,14.22359,1422,,,,,
SO - 019203,08-Jan-21,2938CA,AXW291,Export,14,29.206,409,,,,,
SO - 019204,08-Jan-21,1992AA,GUT930,Distributor,55,586.3916,32252,,,,,
SO - 019205,08-Jan-21,1624AA,NXH382,Wholesale,2,722.101,1444,,,,,
SO - 019206,08-Jan-21,1624CA,AXW291,Wholesale,1,1531.377,1531,,,,,
SO - 019207,08-Jan-21,1295CA,AXW291,Distributor,4,175000,700000,,,,,
SO - 019208,08-Jan-21,2173CA,GUT930,Wholesale,2,444.94,890,,,,,
SO - 019209,08-Jan-21,3619CA,AXW291,Distributor,330,0.7455,246,,,,,
SO - 019210,08-Jan-21,1499AA,AXW291,Wholesale,122,14.22359,1735,,,,,
SO - 019211,08-Jan-21,1161AA,AXW291,Wholesale,55,136.5925,7513,,,,,
